EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,OverTime,DistanceFromHome,YearsAtCompany,PerformanceRating,WorkLifeBalance,Attrition
EMP00028,29,Male,Marketing,Executive,6783,Yes,15,0,2,1,No
EMP00029,50,Female,Finance,Manager,10275,No,10,8,3,3,No
EMP00030,25,Female,IT,Developer,10426,Yes,4,0,1,1,Yes
EMP00031,39,Female,Finance,Specialist,7261,No,27,3,4,4,No
EMP00032,22,Male,IT,Analyst,7019,No,17,1,4,3,No
EMP00033,22,Female,Marketing,Executive,7353,No,9,1,3,1,No
EMP00034,43,Female,IT,Developer,8075,No,12,5,3,3,No
EMP00035,25,Female,Marketing,Executive,5302,No,19,0,3,4,No
EMP00036,41,Female,IT,Analyst,7993,Yes,11,3,4,2,No
EMP00037,56,Male,Marketing,Senior Manager,19530,Yes,15,19,2,4,No
EMP00038,28,Female,IT,Analyst,8484,Yes,16,0,4,3,No
EMP00039,43,Female,HR,Manager,15353,Yes,19,13,2,4,No
EMP00040,29,Male,IT,Developer,12290,No,7,4,3,3,No
EMP00041,34,Female,HR,Analyst,6219,No,23,2,3,3,No
EMP00042,23,Male,IT,Developer,7065,No,15,2,3,4,No
EMP00043,22,Male,Marketing,Executive,6196,No,12,0,3,2,No
EMP00044,27,Male,IT,Developer,12118,No,17,3,3,3,No
EMP00045,47,Male,HR,Manager,13346,No,14,15,3,4,No
EMP00046,59,Male,IT,Senior Manager,22918,No,15,20,3,4,No
EMP00047,42,Female,Marketing,Specialist,6309,No,3,4,3,3,No
EMP00048,24,Male,Marketing,Executive,5867,No,45,1,3,2,No
EMP00049,25,Male,IT,Specialist,8899,No,15,4,3,3,No
EMP00050,24,Male,IT,Specialist,8526,No,25,0,2,4,No
EMP00051,23,Male,HR,Analyst,7039,No,17,1,3,3,No
EMP00052,26,Female,IT,Developer,6682,Yes,12,0,2,2,No
EMP00053,42,Male,Finance,Analyst,7016,No,22,6,3,3,No
EMP00054,33,Male,IT,Developer,11669,Yes,23,2,2,2,Yes
EMP00055,45,Male,IT,Developer,9240,No,17,4,3,1,No
EMP00056,45,Female,IT,Developer,8143,Yes,5,3,2,4,No
EMP00057,34,Female,HR,Executive,5679,No,17,0,3,3,No
EMP00058,53,Male,Finance,Manager,13986,No,8,17,4,2,No
EMP00059,24,Female,Sales,Analyst,6598,No,17,0,3,3,No
EMP00060,36,Male,Finance,Executive,5967,No,9,2,3,2,No
EMP00061,35,Female,Marketing,Executive,5130,No,12,3,2,3,No
EMP00062,34,Male,IT,Analyst,7238,Yes,12,0,3,2,Yes
EMP00063,44,Female,Finance,Specialist,8488,No,18,3,2,4,No
EMP00064,26,Male,Finance,Analyst,5617,No,10,4,3,3,No
EMP00065,30,Female,Finance,Manager,14803,No,16,5,3,4,No
EMP00066,28,Female,IT,Analyst,7422,No,38,0,4,4,No
EMP00067,27,Female,HR,Specialist,7625,No,10,1,2,4,No
EMP00068,27,Male,IT,Developer,8869,No,31,3,3,4,Yes
EMP00069,45,Female,IT,Developer,9183,No,16,10,3,1,No
EMP00070,33,Female,Finance,Manager,14763,Yes,29,2,2,1,No
EMP00071,30,Male,Marketing,Manager,10184,No,50,5,2,3,No
EMP00072,41,Female,Finance,Analyst,6916,No,4,5,3,2,No
EMP00073,28,Male,Finance,Analyst,5162,Yes,26,0,2,2,Yes
EMP00074,57,Male,IT,Senior Manager,18739,Yes,13,16,2,3,No
EMP00075,46,Male,Sales,Manager,9996,No,7,10,3,3,No
EMP00076,26,Male,IT,Developer,6736,No,12,1,3,3,No
EMP00077,29,Male,Marketing,Analyst,4682,Yes,21,2,2,3,No
EMP00078,23,Male,Sales,Executive,6819,No,29,0,4,2,No
EMP00079,32,Male,IT,Developer,6201,Yes,2,3,3,2,No
EMP00080,34,Male,IT,Developer,11510,Yes,8,7,2,4,No
EMP00081,35,Female,Marketing,Analyst,6640,Yes,50,5,3,3,No
EMP00082,34,Male,Sales,Executive,6419,No,14,0,3,2,No
EMP00083,43,Male,IT,Developer,5928,Yes,36,8,2,4,No
EMP00084,24,Male,IT,Developer,6739,No,15,3,3,3,No
EMP00085,26,Male,HR,Specialist,9272,No,2,0,2,4,No
EMP00086,46,Female,Sales,Senior Manager,21852,Yes,15,12,3,3,No
EMP00087,35,Male,Marketing,Specialist,9579,Yes,10,3,4,3,Yes
EMP00088,37,Female,Sales,Executive,7112,No,19,1,3,3,No
EMP00089,34,Male,IT,Analyst,7467,Yes,4,5,2,3,No
EMP00090,39,Male,HR,Analyst,8079,Yes,31,10,3,2,No
EMP00091,33,Female,IT,Developer,7709,No,11,0,3,3,No
EMP00092,31,Female,Finance,Manager,9391,No,21,3,4,3,No
EMP00093,38,Female,IT,Developer,11537,No,9,4,3,3,No
EMP00094,26,Male,IT,Developer,10476,No,18,4,2,3,No
EMP00095,42,Male,HR,Senior Manager,14799,No,50,9,4,3,No
EMP00096,34,Female,Marketing,Executive,4421,Yes,9,0,3,3,No
EMP00097,41,Female,HR,Analyst,8683,Yes,32,3,2,3,No
EMP00098,30,Male,HR,Analyst,8080,No,1,0,3,1,No
EMP00099,26,Female,Finance,Analyst,7441,No,11,0,4,2,No
EMP00100,50,Female,Sales,Senior Manager,19266,No,9,14,3,3,No
EMP00101,24,Female,IT,Specialist,5845,Yes,4,3,2,3,Yes
EMP00102,54,Male,Marketing,Manager,10088,No,10,12,2,4,No
EMP00103,35,Female,IT,Developer,9586,No,4,1,3,4,No
EMP00104,25,Male,IT,Specialist,6643,No,15,2,3,3,No
EMP00105,39,Male,Sales,Executive,7276,No,17,4,1,3,No
EMP00106,25,Male,IT,Specialist,6231,No,3,0,3,3,No
EMP00107,32,Male,Marketing,Analyst,5593,No,11,0,3,3,No
EMP00108,22,Male,IT,Analyst,5783,No,7,0,3,3,No
EMP00109,38,Male,Sales,Executive,4457,Yes,36,4,3,2,No
EMP00110,52,Female,Sales,Senior Manager,18582,Yes,17,9,2,3,No
EMP00111,29,Male,Sales,Executive,5086,No,9,0,3,3,No
EMP00112,45,Female,HR,Specialist,8371,Yes,15,0,3,2,No
EMP00113,24,Male,Sales,Specialist,7330,Yes,10,0,3,2,Yes
EMP00114,23,Female,HR,Executive,4144,No,15,0,3,3,No
EMP00115,57,Female,Finance,Senior Manager,17982,No,31,20,3,3,No
EMP00116,33,Female,Finance,Analyst,5220,No,5,2,3,3,Yes
EMP00117,32,Female,HR,Specialist,7278,Yes,3,1,2,3,Yes
EMP00118,57,Male,IT,Senior Manager,20898,No,13,16,3,3,No
EMP00119,37,Male,IT,Developer,11990,No,20,7,2,3,No
EMP00120,31,Female,HR,Specialist,6824,No,3,0,3,2,No
EMP00121,35,Male,HR,Analyst,6874,No,4,6,4,3,No
EMP00122,26,Female,IT,Developer,11898,No,14,1,3,3,No
EMP00123,32,Male,Marketing,Executive,6577,No,29,0,3,4,No
EMP00124,23,Male,Finance,Analyst,4992,Yes,14,0,2,2,No
EMP00125,39,Male,Marketing,Executive,7496,Yes,14,2,3,3,No
EMP00126,34,Male,Sales,Executive,4610,No,7,3,3,2,No
EMP00127,38,Male,IT,Senior Manager,22022,No,13,9,4,3,No
EMP00128,30,Male,Finance,Manager,14049,No,19,8,3,2,No
EMP00129,38,Female,IT,Developer,10890,Yes,8,6,3,4,No
EMP00130,52,Male,Marketing,Manager,13206,No,14,12,3,3,No
EMP00131,24,Male,Finance,Specialist,6069,No,36,0,3,3,No
EMP00132,33,Female,Sales,Executive,4666,No,12,4,3,3,No
EMP00133,32,Female,HR,Executive,4026,No,11,0,2,4,No
EMP00134,37,Male,HR,Analyst,6803,No,14,4,2,3,No
EMP00135,48,Male,HR,Senior Manager,15802,No,8,15,3,2,No
EMP00136,44,Female,IT,Developer,9512,Yes,18,6,3,4,No
EMP00137,31,Male,Marketing,Analyst,8230,No,22,2,3,3,Yes
EMP00138,22,Female,Marketing,Analyst,6196,Yes,19,0,3,2,Yes
EMP00139,32,Male,Finance,Analyst,5471,No,12,1,2,3,No
EMP00140,39,Male,IT,Developer,6051,Yes,17,10,4,3,No
EMP00141,30,Male,Marketing,Executive,5296,Yes,8,4,2,3,No
EMP00142,39,Male,Finance,Executive,6483,Yes,4,2,3,2,No
EMP00143,44,Female,IT,Developer,9521,No,19,5,3,2,No
EMP00144,35,Male,Finance,Specialist,9491,No,6,1,1,3,Yes
EMP00145,41,Female,Marketing,Analyst,7162,Yes,8,3,3,3,No
EMP00146,24,Male,IT,Developer,8040,Yes,14,1,3,4,No
EMP00147,36,Female,Sales,Analyst,8469,No,14,0,4,4,Yes
EMP00148,32,Female,Finance,Specialist,6555,Yes,9,2,3,4,Yes
EMP00149,36,Female,IT,Developer,6507,No,8,2,3,3,No
EMP00150,37,Male,IT,Developer,12325,No,12,6,3,3,No
EMP00151,23,Male,Sales,Executive,6326,Yes,7,1,2,3,No
EMP00152,30,Female,Finance,Analyst,7692,Yes,19,1,3,2,No
EMP00153,25,Male,Finance,Analyst,6608,No,3,0,3,4,No
EMP00154,25,Female,HR,Specialist,5602,No,17,0,2,3,No
EMP00155,50,Male,Finance,Manager,16364,No,5,15,3,4,No
EMP00156,42,Male,IT,Developer,7309,No,18,4,3,4,No
EMP00157,30,Male,Marketing,Analyst,7485,No,21,4,4,3,No
EMP00158,29,Female,Finance,Executive,4794,No,26,0,4,3,No
EMP00159,22,Male,Marketing,Analyst,4788,Yes,6,0,3,3,No
EMP00160,26,Female,Finance,Analyst,6913,No,12,4,3,4,No
EMP00161,36,Female,IT,Analyst,5365,Yes,31,1,3,1,Yes
EMP00162,31,Female,HR,Specialist,5689,No,13,4,2,1,Yes
EMP00163,29,Male,Sales,Executive,5645,No,19,3,2,2,No
EMP00164,28,Female,Sales,Executive,7019,No,23,1,3,3,No
EMP00165,32,Female,Sales,Executive,4943,No,8,0,2,4,No
EMP00166,32,Male,Finance,Analyst,7653,No,6,2,2,3,No
EMP00167,38,Female,IT,Developer,11121,No,10,4,4,3,No
EMP00168,25,Male,Marketing,Specialist,6705,No,12,2,1,3,No
EMP00169,48,Male,IT,Senior Manager,21866,No,15,13,3,3,No
EMP00170,27,Female,Finance,Analyst,6150,No,28,0,3,3,Yes
EMP00171,41,Female,Marketing,Analyst,6851,No,26,2,3,3,No
EMP00172,27,Male,Finance,Analyst,5425,No,1,2,3,3,No
EMP00173,36,Male,Sales,Analyst,8697,No,5,3,3,2,No
EMP00174,38,Male,IT,Manager,17030,Yes,17,11,3,3,No
EMP00175,42,Female,Sales,Specialist,9676,Yes,26,6,2,3,No
EMP00176,26,Male,IT,Developer,5824,No,14,0,2,2,No
EMP00177,26,Male,Finance,Developer,5632,Yes,6,1,4,2,Yes
EMP00178,38,Male,IT,Manager,12810,Yes,14,4,3,4,Yes
EMP00179,36,Male,IT,Executive,7087,Yes,18,0,3,4,No
EMP00180,40,Male,HR,Specialist,7428,No,2,6,2,2,No
EMP00181,46,Male,Finance,Manager,17500,No,26,13,3,3,No
EMP00182,34,Male,IT,Manager,15620,No,9,0,3,3,No
EMP00183,31,Male,HR,Executive,7780,No,13,6,3,4,No
EMP00184,41,Male,Marketing,Analyst,6456,No,19,3,1,2,No
EMP00185,49,Male,Finance,Manager,13135,No,29,10,3,2,No
EMP00186,30,Male,HR,Analyst,8061,No,27,6,3,2,No
EMP00187,26,Female,Finance,Specialist,5898,No,10,3,1,3,No
EMP00188,35,Female,IT,Manager,11777,No,8,6,2,3,No
EMP00189,60,Male,Marketing,Senior Manager,15498,Yes,7,18,2,2,No
EMP00190,28,Female,IT,Developer,7905,No,17,6,3,3,No
EMP00191,55,Male,IT,Manager,10610,No,10,13,4,3,No
EMP00192,38,Male,Sales,Executive,7546,No,29,2,3,3,Yes
EMP00193,30,Female,Finance,Analyst,5491,No,10,3,3,3,No
EMP00194,38,Female,Sales,Manager,11515,No,27,8,3,2,No
EMP00195,30,Male,IT,Developer,10801,No,5,1,3,1,No
EMP00196,35,Female,Marketing,Analyst,7905,Yes,16,3,3,2,No
EMP00197,36,Female,IT,Developer,6039,Yes,10,2,3,2,Yes
EMP00198,35,Female,Finance,Analyst,8392,Yes,38,5,2,3,No
EMP00199,39,Male,IT,Executive,5157,Yes,23,7,3,3,Yes
EMP00200,30,Male,Sales,Manager,11386,Yes,12,0,4,3,No
EMP00201,25,Female,Marketing,Executive,6283,No,1,0,3,3,No
EMP00202,38,Female,Finance,Analyst,8325,No,9,3,3,3,No
EMP00203,42,Female,IT,Developer,5757,Yes,3,5,1,2,No
EMP00204,33,Male,IT,Specialist,7004,Yes,11,4,2,2,No
EMP00205,40,Male,IT,Manager,16374,Yes,8,7,3,4,No
EMP00206,22,Female,Marketing,Analyst,5530,Yes,14,0,3,2,Yes
EMP00207,41,Male,IT,Developer,11988,No,48,7,3,3,No
EMP00208,34,Female,Finance,Executive,7171,No,22,2,4,2,No
EMP00209,33,Male,Finance,Analyst,6918,Yes,2,2,3,2,No
EMP00210,32,Female,HR,Executive,5202,No,7,6,3,4,No
EMP00211,52,Female,Marketing,Manager,12990,No,2,15,3,3,No
EMP00212,23,Male,IT,Developer,5665,No,9,0,3,2,No
EMP00213,27,Male,IT,Developer,9568,No,14,4,2,4,No
EMP00214,50,Male,Finance,Senior Manager,14660,No,12,13,1,4,No
EMP00215,27,Male,Finance,Developer,11365,No,15,1,4,3,No
EMP00216,38,Female,IT,Developer,7122,Yes,2,10,3,3,No
EMP00217,33,Female,HR,Analyst,6840,Yes,9,3,4,2,No
EMP00218,24,Female,Sales,Analyst,6832,No,24,1,3,1,No
EMP00219,23,Male,Sales,Executive,7101,Yes,39,1,2,3,Yes
EMP00220,46,Male,Marketing,Manager,10428,No,20,10,3,3,No
EMP00221,32,Male,Sales,Executive,6592,No,21,1,3,3,No
EMP00222,32,Female,Finance,Specialist,6082,No,25,0,1,4,No
EMP00223,45,Male,Marketing,Specialist,8701,Yes,25,9,3,3,No
EMP00224,36,Male,IT,Analyst,5005,Yes,3,6,3,3,Yes
EMP00225,46,Female,HR,Specialist,7053,No,13,4,3,2,No
EMP00226,56,Female,Sales,Senior Manager,15006,No,15,12,3,2,No
EMP00227,24,Male,IT,Developer,11725,Yes,8,2,3,3,No
EMP00228,40,Male,IT,Executive,4643,No,4,6,3,3,No
EMP00229,35,Female,Marketing,Analyst,5713,No,11,0,2,4,Yes
EMP00230,24,Female,IT,Developer,5900,No,6,1,1,3,Yes
EMP00231,39,Male,Marketing,Analyst,8262,Yes,9,0,3,2,No
EMP00232,47,Female,Finance,Manager,16599,No,25,10,2,3,No
EMP00233,45,Male,IT,Developer,12533,No,29,8,3,3,Yes
EMP00234,33,Male,IT,Specialist,6895,No,5,3,2,3,No
EMP00235,34,Female,Sales,Analyst,8217,Yes,10,5,3,4,No
EMP00236,23,Male,Marketing,Executive,4511,No,11,2,2,3,No
EMP00237,32,Male,Sales,Executive,4390,No,11,0,3,1,No
EMP00238,26,Male,IT,Developer,11389,Yes,28,0,4,1,Yes
EMP00239,39,Male,Finance,Specialist,9768,Yes,35,5,3,3,No
EMP00240,42,Male,Finance,Analyst,5695,No,6,7,3,3,No
EMP00241,40,Male,Finance,Manager,11744,No,28,8,4,3,No
EMP00242,33,Female,Sales,Executive,7488,Yes,15,2,2,2,No
EMP00243,34,Male,HR,Executive,4720,No,14,4,4,3,No
EMP00244,35,Female,Sales,Executive,7353,No,11,0,3,3,No
EMP00245,39,Male,Sales,Analyst,6334,No,15,0,3,4,No
EMP00246,39,Female,IT,Analyst,8476,Yes,20,2,4,3,Yes
EMP00247,39,Female,Sales,Executive,6228,No,15,1,3,4,No
EMP00248,39,Female,Finance,Senior Manager,22012,No,17,8,2,3,No
EMP00249,59,Female,HR,Senior Manager,22467,No,17,20,3,1,No
EMP00250,37,Female,HR,Analyst,4691,No,6,2,2,3,No
EMP00251,54,Male,Marketing,Manager,12875,No,31,12,4,3,No
EMP00252,43,Male,HR,Specialist,8883,No,36,1,4,1,No
EMP00253,24,Female,HR,Specialist,6321,No,11,1,3,3,No
EMP00254,30,Male,HR,Specialist,8648,No,24,2,2,3,No
EMP00255,36,Male,IT,Developer,8357,No,21,3,3,3,No
EMP00256,38,Female,Sales,Executive,5488,Yes,16,0,3,1,Yes
EMP00257,31,Male,Sales,Executive,4035,No,8,0,2,2,No
EMP00258,32,Male,IT,Specialist,6465,Yes,27,2,3,2,Yes
EMP00259,36,Male,HR,Manager,13616,Yes,7,8,3,3,Yes
EMP00260,38,Male,HR,Analyst,5914,No,3,5,2,3,No
EMP00261,24,Male,Finance,Developer,8705,No,25,3,3,4,No
EMP00262,36,Male,HR,Specialist,5936,Yes,5,5,3,3,No
EMP00263,26,Male,IT,Developer,8126,Yes,23,2,1,3,Yes
EMP00264,41,Female,IT,Developer,9375,No,40,5,3,2,No
EMP00265,39,Female,Sales,Specialist,6457,No,6,3,3,3,No
EMP00266,40,Female,HR,Executive,4570,Yes,21,0,3,2,Yes
EMP00267,43,Male,IT,Manager,11951,Yes,20,5,3,1,No
EMP00268,42,Male,HR,Developer,7174,No,33,7,2,3,No
EMP00269,32,Male,HR,Developer,10461,No,6,2,3,3,No
EMP00270,37,Male,HR,Analyst,7549,Yes,46,5,2,4,Yes
EMP00271,41,Male,IT,Developer,7701,Yes,29,8,3,3,No
EMP00272,25,Female,Sales,Executive,4898,No,5,4,3,3,No
EMP00273,34,Male,Marketing,Analyst,6301,No,19,0,3,2,No
EMP00274,55,Female,Sales,Senior Manager,23364,Yes,28,14,4,3,No
EMP00275,39,Male,HR,Developer,10780,Yes,19,9,3,1,Yes
EMP00276,35,Female,HR,Analyst,4750,No,6,0,3,3,No
EMP00277,43,Male,HR,Senior Manager,16794,No,1,10,3,3,No
EMP00278,39,Female,IT,Developer,9287,Yes,22,4,4,3,No
EMP00279,33,Female,IT,Developer,9096,No,18,5,3,3,No
EMP00280,36,Male,IT,Specialist,5421,No,16,4,3,3,No
EMP00281,31,Male,Finance,Analyst,8336,No,23,1,3,1,No
EMP00282,43,Female,IT,Developer,10822,Yes,14,6,3,3,No
EMP00283,38,Female,IT,Developer,11554,Yes,26,4,2,4,No
EMP00284,32,Female,Marketing,Manager,11902,Yes,10,0,3,3,No
EMP00285,43,Male,IT,Developer,10172,No,4,0,1,2,No
EMP00286,40,Female,HR,Analyst,5519,No,3,3,3,3,No
EMP00287,46,Male,Finance,Senior Manager,18483,No,41,13,2,3,No
EMP00288,45,Male,Finance,Manager,16990,No,22,11,4,3,No
EMP00289,40,Male,IT,Specialist,9653,No,26,5,3,4,No
EMP00290,45,Male,Sales,Specialist,8718,No,17,7,3,3,No
EMP00291,24,Female,IT,Developer,8195,No,13,1,1,3,No
EMP00292,36,Male,HR,Analyst,6774,No,15,2,3,4,No
EMP00293,40,Male,Finance,Senior Manager,15940,No,8,8,3,3,No
EMP00294,34,Female,HR,Specialist,8951,No,33,3,2,1,No
EMP00295,38,Female,IT,Developer,10386,No,5,0,3,3,No
EMP00296,38,Male,Sales,Analyst,5666,No,33,3,3,4,No
EMP00297,38,Male,IT,Developer,6978,Yes,7,3,4,3,No
EMP00298,33,Male,Marketing,Analyst,6275,No,12,0,3,3,No
EMP00299,42,Female,HR,Analyst,7570,Yes,3,5,3,3,Yes
EMP00300,26,Female,Finance,Analyst,7611,Yes,11,2,3,4,No
EMP00301,37,Female,Finance,Executive,5131,No,10,0,4,4,Yes
EMP00302,27,Female,Marketing,Analyst,4997,No,28,3,4,4,No
EMP00303,38,Male,HR,Analyst,8411,No,10,1,2,3,No
EMP00304,38,Male,IT,Analyst,7912,Yes,17,6,3,4,No
EMP00305,40,Female,IT,Executive,5814,No,4,6,4,4,No
EMP00306,40,Male,Sales,Executive,5640,No,12,2,3,4,Yes
EMP00307,45,Female,IT,Developer,12250,No,15,8,2,3,Yes
EMP00308,31,Female,Finance,Specialist,8239,No,25,1,1,4,No
EMP00309,45,Female,Marketing,Specialist,8538,No,18,7,3,4,No
EMP00310,33,Female,Marketing,Analyst,6014,Yes,12,2,3,4,Yes
EMP00311,34,Female,Sales,Executive,7476,No,29,1,2,2,No
EMP00312,31,Male,IT,Specialist,9307,No,10,1,3,3,No
EMP00313,24,Female,IT,Developer,5962,Yes,11,0,2,2,Yes
EMP00314,45,Male,HR,Senior Manager,14928,Yes,9,8,2,1,No
EMP00315,35,Female,IT,Developer,6001,Yes,10,2,4,2,No
EMP00316,36,Male,IT,Developer,11068,Yes,15,4,3,2,No
EMP00317,31,Male,HR,Analyst,8288,Yes,4,8,3,3,No
EMP00318,52,Female,IT,Manager,15714,No,10,7,3,3,No
EMP00319,29,Male,IT,Developer,6461,No,17,4,3,4,No
EMP00320,36,Female,IT,Specialist,7729,No,4,2,3,3,No
EMP00321,24,Male,Sales,Executive,4842,Yes,8,2,4,3,Yes
EMP00322,25,Male,IT,Developer,11582,Yes,19,3,4,1,No
EMP00323,25,Male,Marketing,Executive,4130,No,19,4,2,3,Yes
EMP00324,39,Male,HR,Analyst,8692,No,21,6,3,1,Yes
EMP00325,45,Female,IT,Specialist,7323,No,28,7,1,2,Yes
EMP00326,30,Male,Marketing,Executive,5639,No,16,0,4,4,Yes
EMP00327,39,Female,Marketing,Specialist,6166,Yes,8,2,3,2,No
EMP00328,34,Male,Finance,Specialist,7800,No,16,4,3,4,No
EMP00329,41,Male,IT,Developer,8982,No,7,1,4,3,No
EMP00330,40,Female,Marketing,Analyst,5269,No,32,0,3,4,No
EMP00331,39,Male,IT,Developer,10736,No,8,8,3,3,No
EMP00332,45,Female,Sales,Manager,13046,Yes,9,9,3,2,No
EMP00333,53,Male,Sales,Manager,13379,No,23,11,4,4,No
EMP00334,33,Female,Finance,Analyst,8215,No,21,4,3,3,No
EMP00335,23,Male,HR,Analyst,5280,No,29,1,3,3,No
EMP00336,42,Male,IT,Developer,10599,No,2,4,1,2,No
EMP00337,24,Male,Sales,Executive,6127,No,11,3,1,4,No
EMP00338,26,Female,Marketing,Analyst,5094,No,34,3,3,3,No
EMP00339,30,Male,Marketing,Analyst,4738,No,8,3,1,3,No
EMP00340,47,Male,Finance,Senior Manager,17661,No,12,11,3,4,No
EMP00341,38,Male,Finance,Analyst,6218,No,4,6,3,4,No
EMP00342,27,Female,Finance,Analyst,7275,Yes,40,1,3,2,Yes
EMP00343,35,Female,Sales,Executive,6957,Yes,14,0,1,3,No
EMP00344,37,Female,Marketing,Analyst,4687,No,24,0,3,4,No
EMP00345,36,Male,Sales,Executive,5470,Yes,16,2,3,2,No
EMP00346,36,Female,Sales,Executive,6613,No,17,1,4,3,No
EMP00347,40,Female,IT,Developer,5919,No,4,3,3,1,No
EMP00348,27,Female,Finance,Analyst,5505,No,50,0,3,3,Yes
EMP00349,38,Male,Finance,Analyst,7287,No,7,0,3,3,No
EMP00350,35,Male,IT,Developer,12033,Yes,37,1,2,4,Yes
EMP00351,36,Male,Sales,Executive,5969,No,9,5,3,4,No
EMP00352,32,Female,Finance,Specialist,5361,Yes,8,3,3,4,Yes
EMP00353,23,Male,Finance,Analyst,8206,No,2,0,3,1,No
EMP00354,34,Female,IT,Developer,8244,No,50,6,2,3,No
EMP00355,32,Male,HR,Analyst,8031,No,20,5,2,3,No
EMP00356,45,Male,Sales,Manager,12049,No,17,8,3,3,No
EMP00357,26,Female,Finance,Analyst,7661,Yes,9,2,3,3,No
EMP00358,23,Male,HR,Analyst,5274,No,19,0,3,2,No
EMP00359,41,Male,Marketing,Analyst,7365,No,5,3,3,3,No
EMP00360,31,Male,IT,Analyst,6571,Yes,9,1,3,3,No
EMP00361,33,Female,Finance,Specialist,6924,No,28,0,4,3,No
EMP00362,36,Female,HR,Executive,7029,Yes,6,3,3,4,No
EMP00363,32,Male,IT,Analyst,8355,Yes,5,0,3,4,No
EMP00364,36,Male,Marketing,Executive,4243,Yes,26,1,3,2,Yes
EMP00365,41,Male,IT,Manager,9857,No,18,9,3,3,No
EMP00366,36,Female,IT,Developer,8345,No,4,4,3,3,No
EMP00367,33,Female,Sales,Analyst,5225,No,3,3,3,3,No
EMP00368,28,Male,HR,Specialist,8234,No,11,4,3,3,No
EMP00369,34,Female,IT,Developer,11784,No,13,3,3,3,No
EMP00370,40,Female,Finance,Analyst,6374,No,15,7,2,3,No
EMP00371,28,Male,Finance,Analyst,6681,No,16,1,3,4,No
EMP00372,42,Male,IT,Developer,6468,No,28,2,3,3,No
EMP00373,45,Female,Sales,Specialist,8995,Yes,27,8,3,2,No
EMP00374,40,Male,Marketing,Executive,6319,Yes,8,9,2,3,No
EMP00375,32,Male,Marketing,Analyst,7373,Yes,8,2,3,4,No
EMP00376,28,Female,Marketing,Executive,4665,No,47,0,3,4,No
EMP00377,44,Male,IT,Developer,10449,Yes,15,7,3,3,Yes
EMP00378,40,Male,Sales,Executive,4477,Yes,7,3,4,3,Yes
EMP00379,42,Female,Marketing,Analyst,5087,No,7,9,3,4,No
EMP00380,40,Male,IT,Developer,6324,Yes,5,0,3,2,Yes
EMP00381,30,Male,Marketing,Executive,5855,No,5,0,2,2,No
EMP00382,25,Female,Finance,Executive,5158,No,50,1,2,3,Yes
EMP00383,55,Female,IT,Manager,10976,No,12,14,2,3,No
EMP00384,27,Male,IT,Developer,9669,Yes,9,2,1,2,No
EMP00385,29,Female,IT,Developer,9396,No,12,0,2,3,No
EMP00386,47,Male,HR,Manager,10235,No,1,10,2,4,No
EMP00387,39,Male,IT,Developer,9215,Yes,14,0,3,2,No
EMP00388,36,Female,HR,Analyst,5112,No,19,1,4,4,No
EMP00389,36,Female,Finance,Analyst,6523,Yes,14,0,4,3,Yes
EMP00390,27,Female,Finance,Analyst,7789,No,1,0,3,3,No
EMP00391,55,Male,Marketing,Manager,16013,No,27,17,4,2,No
EMP00392,40,Male,Sales,Executive,5365,No,39,5,1,4,No
